loinc,ig_display,loinc_display,ucum_suggested,source,verification,note
3084-1,Uric acid [Mass/volume] in Serum or Plasma,Urate [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,Urea nitrogen [Mass/volume] in Serum or Plasma,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
31147-2,Reagin Ab [Presence] in Serum by RPR -- titer,Reagin Ab [Titer] in Serum by RPR,{titer},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
31170-4,"2,5-Hexanedione [Mass/volume] in Urine","2,5-Hexanedione [Mass/volume] in Urine",mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
3137-7,Body height Measured,Body height Measured,[in_us];cm;m,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
3141-9,Body weight Measured,Body weight Measured,[lb_av];kg,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
32356-8,Yeast [Presence] in Urine sediment,Yeast [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
33218-9,Bacteria [#/volume] in Urine sediment by Automated count,Bacteria [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
33219-7,Epithelial cells.squamous [#/volume] in Urine sediment by Automated count,Epithelial cells.squamous [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
33223-9,Hyaline casts [#/volume] in Urine sediment by Automated count,Hyaline casts [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
33342-7,Epithelial cells [#/volume] in Urine sediment by Automated count,Epithelial cells [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
33668-5,Erythrocytes [Presence] in Stool by Microscopy,Erythrocytes [Presence] in Stool,,LOINC 未提供建議單位,LOINC 未提供,
33762-6,Natriuretic peptide.proB-type N-terminal [Mass/volume] in Serum or Plasma,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,pg/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
33863-2,"Cystatin C [Mass/volume] in Serum, Plasma or Blood",Cystatin C [Mass/volume] in Serum or Plasma,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
33914-3,Glomerular filtration rate/1.73 sq M.predicted by MDRD equation,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,mL/min/{1.73_m2},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,LOINC 狀態：DISCOURAGED
34304-6,Fluoride [Mass/volume] in Urine,Fluoride [Moles/volume] in Urine,nmol/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
34921-7,Plasmacytoid lymphocytes/100 leukocytes in Blood,Lymphocytes Plasmacytoid/Leukocytes in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
35200-5,Cholesterol [Mass or Moles/volume] in Serum or Plasma,Cholesterol [Mass or Moles/volume] in Serum or Plasma,,LOINC EXAMPLE_UCUM_UNITS,LOINC 未提供,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）；官方無 EXAMPLE_UCUM_UNITS
36643-5,XR Chest 2 Views,XR Chest 2 Views,,LOINC 未提供建議單位,LOINC 未提供,
38268-9,DXA Skeletal Sys Views for BMD,DXA Skeletal system Views for bone density,,LOINC 未提供建議單位,LOINC 未提供,
38483-4,Creatinine [Mass/volume] in Blood,Creatinine [Mass/volume] in Blood,mg/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
39156-5,Body mass index (BMI) [Ratio],Body mass index (BMI) [Ratio],kg/m2,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
42221-2,Manganese [Mass/volume] in Urine,Manganese [Moles/volume] in Urine,nmol/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
42254-3,Nuclear Ab [Presence] in Serum by Immunofluorescence,Nuclear Ab [Presence] in Serum by Immunofluorescence,,LOINC 未提供建議單位,LOINC 未提供,
42524-9,Mucus [Presence] in Stool by Microscopy,Mucus [Presence] in Stool by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
43371-4,Salmonella and Shigella [Presence] in Stool by Culture,Salmonella and Shigella sp identified in Stool by Organism specific culture,,LOINC 未提供建議單位,LOINC 未提供,
43755-8,Casts [#/volume] in Urine sediment by Automated count,Casts [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
4544-3,Hematocrit [Volume Fraction] of Blood,Hematocrit [Volume Fraction] of Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,Hemoglobin A1c/Hemoglobin.total in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
4588-0,Hemoglobin H/Hemoglobin.total in Blood,Hemoglobin H/Hemoglobin.total in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
46419-8,Erythrocytes [#/volume] in Urine sediment by Automated count,Erythrocytes [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
46702-7,Leukocytes [#/volume] in Urine sediment by Automated count,Leukocytes [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
47214-2,Homeostasis model assessment,Homeostasis model assessment,{Index_val},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
50235-1,Mucus [#/volume] in Urine sediment by Automated count,Mucus [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
50551-1,Bilirubin [Presence] in Urine by Test strip,Bilirubin.total [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
50555-2,Glucose [Presence] in Urine by Test strip,Glucose [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
50558-6,Nitrite [Presence] in Urine by Test strip,Nitrite [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
50560-2,pH of Urine by Test strip,pH of Urine by Automated test strip,[pH],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
50562-8,Specific gravity of Urine by Refractometer,Specific gravity of Urine by Refractometry automated,,LOINC 未提供建議單位,LOINC 未提供,
51478-6,Mucus [#/volume] in Urine by Automated count,Mucus [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
51479-4,Spermatozoa [#/volume] in Urine by Automated count,Spermatozoa [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
51480-2,Bacteria [#/volume] in Urine by Automated count,Bacteria [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
51483-6,Casts [#/volume] in Urine by Automated count,Casts [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
51484-4,Hyaline casts [#/volume] in Urine by Automated count,Hyaline casts [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
51486-9,Epithelial cells.squamous [#/volume] in Urine by Automated count,Epithelial cells.squamous [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
51487-7,Leukocytes [#/volume] in Urine by Automated count,Leukocytes [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
5176-3,Helicobacter pylori IgG Ab [Presence] in Serum,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay,{Index_val},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
51913-2,Hepatitis A virus Ab [Presence] in Serum or Plasma,Hepatitis A virus IgG+IgM Ab [Presence] in Serum,,LOINC 未提供建議單位,LOINC 未提供,
5193-8,Hepatitis B virus surface Ab [Presence] in Serum or Plasma,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,m[IU]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
53324-0,Spermatozoa [#/volume] in Urine sediment by Automated count,Spermatozoa [#/area] in Urine sediment by Automated count,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5334-8,Rubella virus IgG Ab [Units/volume] in Serum or Plasma,Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
53962-7,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,ng/mL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
53975-9,Drug crystals [Presence] in Urine sediment,Drug crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5403-1,Varicella zoster virus IgG Ab [Units/volume] in Serum or Plasma,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay,[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5586-3,Arsenic [Mass/volume] in Urine,Arsenic [Mass/volume] in Urine,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5609-3,Cadmium [Mass/volume] in Blood,Cadmium [Mass/volume] in Blood,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5611-9,Cadmium [Mass/volume] in Urine,Cadmium [Mass/volume] in Urine,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5622-6,Chromium [Mass/volume] in Serum or Plasma,Chromium [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5623-4,Chromium [Mass/volume] in Urine,Chromium [Mass/volume] in Urine,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5625-9,Cobalt [Mass/volume] in Blood,Cobalt [Mass/volume] in Blood,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5627-5,Cobalt [Mass/volume] in Serum or Plasma,Cobalt [Mass/volume] in Serum or Plasma,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5650-7,Fluoride [Mass/volume] in Urine,Fluoride [Mass/volume] in Urine,mg/L,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
5653-1,Formaldehyde [Mass/volume] in Urine,Formaldehyde [Mass/volume] in Urine,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5665-5,Indium [Mass/volume] in Blood,Indium [Mass/volume] in Blood,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5671-3,Lead [Mass/volume] in Blood,Lead [Mass/volume] in Blood,ug/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,LOINC 狀態：DISCOURAGED；v20260726 Preferred 已改為 77307-7，本碼降為 acceptable
5676-2,Lead [Mass/volume] in Urine,Lead [Mass/volume] in Urine,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5681-2,Manganese [Mass/volume] in Blood,Manganese [Mass/volume] in Blood,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5683-8,Manganese [Mass/volume] in Serum or Plasma,Manganese [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5684-6,Manganese [Mass/volume] in Urine,Manganese [Mass/volume] in Urine,ug/L,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
5685-3,Mercury [Mass/volume] in Blood,Mercury [Mass/volume] in Blood,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
56888-1,HIV 1 and 2 Ag and Ab panel [Presence] in Serum or Plasma,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,,LOINC 未提供建議單位,LOINC 未提供,
5689-5,Mercury [Mass/volume] in Urine,Mercury [Mass/volume] in Urine,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5766-1,Ammonium acid urate crystals [Presence] in Urine sediment,Ammonium urate crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5770-3,Bilirubin [Presence] in Urine by Test strip,Bilirubin.total [Presence] in Urine by Test strip,,LOINC 未提供建議單位,LOINC 未提供,
5771-1,Bilirubin crystals [Presence] in Urine sediment,Bilirubin crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5773-7,Calcium carbonate crystals [Presence] in Urine sediment,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
57734-6,Ketones [Presence] in Urine by Test strip,Ketones [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
5774-5,Calcium oxalate crystals [Presence] in Urine sediment,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5775-2,Calcium phosphate crystals [Presence] in Urine sediment,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
57751-0,Hemoglobin [Presence] in Urine by Test strip,Hemoglobin [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
5777-8,Cholesterol crystals [Presence] in Urine sediment,Cholesterol crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5784-4,Cystine crystals [Presence] in Urine sediment,Cystine crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5787-7,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5788-5,Oval fat bodies [#/area] in Urine sediment by Microscopy high power field,Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5792-7,Glucose [Presence] in Urine by Test strip,Glucose [Mass/volume] in Urine by Test strip,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5794-3,Hemoglobin [Presence] in Urine by Test strip,Hemoglobin [Presence] in Urine by Test strip,,LOINC 未提供建議單位,LOINC 未提供,
5796-8,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,/[LPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5797-6,Ketones [Presence] in Urine by Test strip,Ketones [Mass/volume] in Urine by Test strip,mg/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5799-2,Leukocyte esterase [Presence] in Urine by Test strip,Leukocyte esterase [Presence] in Urine by Test strip,,LOINC 未提供建議單位,LOINC 未提供,
5802-4,Nitrite [Presence] in Urine by Test strip,Nitrite [Presence] in Urine by Test strip,,LOINC 未提供建議單位,LOINC 未提供,
5803-2,pH of Urine by Test strip,pH of Urine by Test strip,[pH],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5810-7,Specific gravity of Urine,Specific gravity of Urine by Refractometry,{Spec grav},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5813-1,Trichomonas vaginalis [Presence] in Urine sediment,Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5814-9,Calcium magnesium ammonium phosphate crystals [Presence] in Urine sediment,Triple phosphate crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5817-2,Uric acid crystals [Presence] in Urine sediment,Urate crystals [Presence] in Urine sediment by Light microscopy,,LOINC 未提供建議單位,LOINC 未提供,
5821-4,Leukocytes [#/area] in Urine sediment by Microscopy high power field,Leukocytes [#/area] in Urine sediment by Microscopy high power field,/[HPF],"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
5905-5,Monocytes/100 leukocytes in Blood by Automated count,Monocytes/Leukocytes in Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
59261-8,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,Hemoglobin A1c/Hemoglobin.total standardized per IFCC-RMP for CDT in Blood,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
60026-2,Leukocyte esterase [Presence] in Urine by Test strip,Leukocyte esterase [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
60090-8,Indium [Mass/volume] in Serum or Plasma,Indium [Mass/volume] in Serum or Plasma,ug/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
62292-8,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
62487-4,Urobilinogen [Presence] in Urine by Test strip,Urobilinogen [Presence] in Urine by Automated test strip,,LOINC 未提供建議單位,LOINC 未提供,
63557-3,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,Hepatitis B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay,[IU]/L,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
63632-4,,,d;wk;mo;a,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
64218-1,,,/d,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
6690-2,WBC [#/volume] in Blood,Leukocytes [#/volume] in Blood by Automated count,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
6709-0,Hippurate [Mass/volume] in Urine,Hippurate [Mass/volume] in Urine,g/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
706-2,Basophils/100 leukocytes in Blood by Automated count,Basophils/Leukocytes in Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
713-8,Eosinophils/100 leukocytes in Blood by Automated count,Eosinophils/Leukocytes in Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
718-7,Hemoglobin [Mass/volume] in Blood,Hemoglobin [Mass/volume] in Blood,g/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
72665-3,"trans,trans-Muconic acid [Mass/volume] in Urine","Trans,trans-muconic acid [Mass/volume] in Urine",mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
731-0,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes [#/volume] in Blood by Automated count,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
736-9,Lymphocytes [Fraction] of WBC,Lymphocytes/Leukocytes in Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
751-8,Neutrophils [#/volume] in Blood by Automated count,Neutrophils [#/volume] in Blood by Automated count,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
770-8,Neutrophils [Fraction] of WBC,Neutrophils/Leukocytes in Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
77307-7,Lead [Mass/volume] in Venous blood,Lead [Mass/volume] in Venous blood,ug/dL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
777-3,Platelets [#/volume] in Blood,Platelets [#/volume] in Blood by Automated count,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
785-6,MCH [Entitic mass] by Automated count,MCH [Entitic mass] by Automated count,pg,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
786-4,MCHC [Mass/volume] by Automated count,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,g/dL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
787-2,MCV [Entitic volume] by Automated count,MCV [Entitic mean volume] in Red Blood Cells by Automated count,fL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
788-0,Erythrocyte distribution width [Ratio] by Automated count,Erythrocyte [DistWidth] in Blood by Automated count,%,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
789-8,Erythrocytes [#/volume] in Blood,Erythrocytes [#/volume] in Blood by Automated count,10*6/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
79073-3,CTA Hrt+CA W contr IV,CTA Heart and Coronary arteries W contrast IV,,LOINC 未提供建議單位,LOINC 未提供,
79086-5,CT Chest Screening WO contr,CT Chest for screening WO contrast,,LOINC 未提供建議單位,LOINC 未提供,
7962-4,Measles virus IgG Ab [Units/volume] in Serum or Plasma,Measles virus IgG Ab [Units/volume] in Serum,[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
798-9,Erythrocytes [#/volume] in Urine by Automated count,Erythrocytes [#/volume] in Urine by Automated count,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
804-5,WBC [#/volume] in Blood by Manual count,Leukocytes [#/volume] in Blood by Manual count,10*3/uL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
8099-4,Thyroid peroxidase Ab [Units/volume] in Serum or Plasma,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,[IU]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
81555-5,PT+CT Whole body Tum loc W 18F-FDG IV,PET+CT Guidance for localization of tumor of Whole body-- W 18F-FDG IV,,LOINC 未提供建議單位,LOINC 未提供,
8280-0,Waist Circumference at umbilicus by Tape measure,Waist Circumference at umbilicus by Tape measure,cm,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
8302-2,Body height,Body height,[in_us];cm;m,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
83082-8,Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay,Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay,[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
83083-6,Cancer Ag 15-3 [Units/volume] in Serum or Plasma,Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay,[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
83084-4,Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay,Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay,[arb'U]/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
83085-1,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
83112-3,Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay,Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
8462-4,Diastolic blood pressure,Diastolic blood pressure,mm[Hg],LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
8480-6,Systolic blood pressure,Systolic blood pressure,mm[Hg],LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
87279-6,CT Chest Screening,CT Chest for screening,,LOINC 未提供建議單位,LOINC 未提供,
