code,ig_display,loinc_display,loinc_status,overlap,verdict,files
19048-8,Erythroblasts/100 leukocytes in Blood by Automated count,Nucleated erythrocytes/Leukocytes [Ratio] in Blood,ACTIVE,0.40,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
19113-0,IgE [Units/volume] in Serum or Plasma,IgE [Units/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
19177-5,Alpha-1-fetoprotein [Mass/volume] in Serum or Plasma,Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
19199-9,Prostate specific Ag [Mass/volume] in Serum or Plasma,Prostate specific Ag [Mass/volume] in Semen,ACTIVE,0.75,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
19266-6,Amphetamines [Presence] in Urine by Screening test,Amphetamines cutoff [Mass/volume] in Urine for Screen method,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
19283-1,Benzodiazepines [Presence] in Urine by Screening test,Benzodiazepines cutoff [Mass/volume] in Urine for Screen method,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
19299-7,Opiates [Presence] in Urine by Screening test,Opiates cutoff [Mass/volume] in Urine for Screen method,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
19501-6,Ketamine [Presence] in Urine by Screening test,Ketamine cutoff [Mass/volume] in Urine for Screen method,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
19571-9,MDMA [Presence] in Urine by Screening test,Methylenedioxymethamphetamine cutoff [Mass/volume] in Urine for Screen method,ACTIVE,0.25,⚠️ 疑似不符（須人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.direct [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin.total [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1984-4,Bromide [Mass/volume] in Serum or Plasma,Bromide [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
1985-1,Bromide [Mass/volume] in Urine,Bromide [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
19862-2,Total lung capacity,Total lung capacity,ACTIVE,1.00,相符,input/fsh/valuesets/VS-PulmonaryFunction.fsh
19868-9,Forced vital capacity [Volume] Respiratory system by Spirometry,Forced vital capacity [Volume] Respiratory system by Spirometry,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/profiles/TWHA-PulmonaryFunction.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh; input/fsh/valuesets/VS-PulmonaryFunction.fsh
19870-5,Forced vital capacity [Volume] Respiratory system,Forced vital capacity [Volume] Respiratory system,ACTIVE,1.00,相符,input/fsh/valuesets/VS-PulmonaryFunction.fsh
19876-2,Forced vital capacity [Volume] Respiratory system by Spirometry --pre bronchodilation,Forced vital capacity [Volume] Respiratory system by Spirometry --pre bronchodilation,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-PulmonaryFunction.fsh
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
19911-7,Diffusion capacity.carbon monoxide,Diffusion capacity.carbon monoxide,ACTIVE,1.00,相符,input/fsh/valuesets/VS-PulmonaryFunction.fsh
19926-5,FEV1/FVC,FEV1/FVC,ACTIVE,1.00,相符,input/fsh/profiles/TWHA-PulmonaryFunction.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh; input/fsh/valuesets/VS-PulmonaryFunction.fsh
