code,class,ig_display,official_display,component_diff,system_diff,property_diff,method_diff,action,replacement_code,rationale,verified_by,verified_date,lookup_display,lookup_component,lookup_property,lookup_system,lookup_scale,lookup_method,lookup_status,lookup_error
"3053-6","A","Triiodothyronine (T3) total [Mass/volume] in Serum or Plasma","Triiodothyronine (T3) [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","","","Triiodothyronine (T3) [Mass/volume] in Serum or Plasma","LP15922-5","LP6827-2","LP7576-4","LP7753-9","","ACTIVE",""
"62292-8","A","25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma","25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","","","25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma","LP182450-9","LP6827-2","LP7576-4","LP7753-9","","ACTIVE",""
"8099-4","A","Thyroid peroxidase Ab [Units/volume] in Serum or Plasma","Thyroperoxidase Ab [Units/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","","","Thyroperoxidase Ab [Units/volume] in Serum or Plasma","LP40001-7","LP6773-8","LP7576-4","LP7753-9","","ACTIVE",""
"13950-1","C","Hepatitis A virus IgM Ab [Presence] in Serum or Plasma","Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"13952-7","C","Hepatitis B virus core Ab [Presence] in Serum or Plasma","Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"17780-8","C","Helicobacter pylori Ag [Presence] in Stool","Helicobacter pylori Ag [Presence] in Stool by Immunoassay","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"22322-2","B","Hepatitis B virus surface Ab [Units/volume] in Serum","Hepatitis B virus surface Ab [Presence] in Serum","false","false","Units/volume","false","REVIEW","","","","","Hepatitis B virus surface Ab [Presence] in Serum","LP38330-4","LP217195-9","LP7567-3","LP7751-3","","ACTIVE",""
"31147-2","B","Reagin Ab [Presence] in Serum by RPR -- titer","Reagin Ab [Titer] in Serum by RPR","false","false","Presence","true","REVIEW","","","","","Reagin Ab [Titer] in Serum by RPR","LP39544-9","LP6881-9","LP7567-3","LP436123-6","LP70657-9","ACTIVE",""
"5176-3","B","Helicobacter pylori IgG Ab [Presence] in Serum","Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay","false","false","Presence","true","REVIEW","","","","","Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay","LP38305-6","LP6773-8","LP7567-3","LP7753-9","LP217197-5","ACTIVE",""
"51913-2","A","Hepatitis A virus Ab [Presence] in Serum or Plasma","Hepatitis A virus IgG+IgM Ab [Presence] in Serum","true","Serum or Plasma","false","false","REVIEW","","","","","Hepatitis A virus IgG+IgM Ab [Presence] in Serum","LP174042-4","LP217195-9","LP7567-3","LP7751-3","","ACTIVE",""
